GROUP,DESCRIPTION,LINK
SpeakUp Club: Languages,"Break barriers, one language at a time. SpeakUp celebrates linguistic diversity by introducing members to new languages every week. From English proficiency to multilingual exploration, this club turns language learning into a fun, interactive, and enriching experience. ",
12th Boards / CUET Club,"A focused study community for 12th grade students preparing for board exams and CUET. Share notes, discuss difficult topics, exchange tips, and keep each other motivated through the most crucial academic year. Together, we ace it. ",https://chat.whatsapp.com/Dhgoa7lKqYB9FjOB1GhmRa?mode=gi_t
Delvore: Research Club,"Where curiosity becomes contribution. Delvore empowers members to conduct meaningful research, collaborate in teams, and publish findings. From IRIS National Fair to prestigious journals, we guide student researchers through the entire process — topic selection to publication. ",
TECH and AI Club,"Stay ahead of the AI revolution. Dive into machine learning, NLP, computer vision, and cutting-edge tech through monthly workshops, project showcases, and innovation competitions. Whether you're a developer or a dreamer, this is where technology and curiosity collide. ",
SAT Prep Club,"Conquer the SAT with a community behind you. Share study strategies, practice resources, tips, and motivation as you work towards your target score. A supportive space for students aiming to study abroad. ",
Polymaths: STEMB Club,"For the intellectually restless. Polymaths brings together lovers of Science, Technology, Engineering, Mathematics, and Biology to discuss the latest research, solve olympiad problems, and share breakthroughs that shape our world. Stay sharp, stay curious. ",
Survival / Self Defense Club,"Knowledge that could save a life. This club equips members with practical self-defense techniques, survival skills, and situational awareness through bi-weekly video sessions and active discussions. Because safety is a skill worth learning. ",
Dance and Theatre Club,"Express yourself without limits. A creative haven for dancers and theatre enthusiasts to share performances, collaborate on productions, and explore the art of movement and storytelling. Your stage, your story. ",
Fashionistas Club,"Where style meets substance. Fashionistas is for trendsetters passionate about fashion design, sustainability, and self-expression. Submit your exclusive designs in monthly showcases, dive into discussions on fast fashion, and celebrate creativity in every stitch. ",
FemPower: Women Empowerment,"Amplifying voices, celebrating strength. FemPower is a dedicated community for discussions on women's rights, inspiring women leaders, and the latest developments in gender equality. A space where women lift each other up and the world takes notice. ",
Comedy Club ,"Life's better with laughter. Join Entwinity's Comedy Club for open mic sessions, comedy writing challenges, and a community that celebrates wit and humour. Perform, write, and laugh together — because everyone deserves a good punchline. ",
History & Philosophy Club,"For those who question everything. Explore the depths of human thought — from ancient philosophical traditions to history's most pivotal moments. Bi-weekly discussions, thought-provoking theories, and a community of curious minds. ",
Agri-Tech Club,Where agriculture meets innovation. A space for discussions on the intersection of technology and farming — from precision agriculture to biotech solutions. Ideal for those passionate about building a sustainable future for food and farming. ,
